"","winner","type","pcandvote","candidate","candrace","candvote","pwhitevt","pblackvt","platinovt","pasianvt","totvote","state","population","vote50bl","vote50wh","vote50as","blwhdiv","blladiv","laasdiv","aswhdiv","numcand","blwhcand","lawhcand","aswhcand","laascand","biracial","whwhcand","blblcand","lalacand","biracialminonly","whcand","lacand","ascand","fips_pla","fips_cnty","cityname","populationinterp","pctunemplinterp","pctpovertyinterp","chng5pop","mayor_council","council_manager","nonpartisan","term_limits_council","staggered_council","mayoral_veto","novevenyr_concurrent","city","year","incumbent","primary","general","runoff","dempresp2_interp","fips_st","fips_plaS","fips_stS","fips_stpla","geo_id2S","geo_id2","H_citytract_NHW_i","H_citytract_multi_i","isolationwht_i","pctlocalgovworker","pctwhtpopinterp","pctblkpopinterp","pctasianpopinterp","pctlatinopopinterp","pop65ovinterp","pctcollegegradinterp","medincinterp","pctrentersinterp","diversityinterp","region","northeast","south","midwest","west","logpop","totalr","citywhiteideol_interp","citywhiteideol_interp2","whiteideology_fill2","latinowhdivide","blackwhdivide","blacklatinodivide","biggestsplit","whiteblhispdivid","biggestsplit_gr","year.f"
"1",1,"General",0.589999973773956,"Rimsza","white",NA,0.61,NA,0.593999981880188,NA,NA,"AZ",NA,0.170000001788139,0.109999999403954,0.170000001788139,0.280000001192093,0.263999968767166,0.263999968767166,0.280000001192093,3,0,0,0,0,0,1,0,0,0,1,0,0,55000,13,"Phoenix City",1287234.89999999,0.0282103400677443,0.153935100138188,168795.5,0,1,1,1,1,0,0,"Phoenix city",1999,1,0,1,0,0.465999996662138,4,"55000","4","455000","455000",455000,0.269818755984307,0.254716743528843,0.721583217382431,NA,0.574317353963856,0.0471841126680373,0.0194627587683499,0.326614917814734,103773.8,0.135371625423431,40015.3999999999,0.394856947660446,0.555602011084556,1,0,0,0,1,14.0680065155029,NA,4.77500009536743,4.77500009536743,4.77500009536743,0.0160000175237656,NA,NA,0.0160000175237656,NA,2,"1999"
"2",1,"General",0.720000028610229,"Gordon","white",68961,NA,NA,NA,NA,95970,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,55000,13,"Phoenix City",1394587,0.0252195950597525,0.159908337891101,141111.203125,0,1,1,1,1,0,0,"Phoenix city",2003,0,0,1,0,NA,4,"55000","4","455000","455000",455000,0.270746466788379,0.249599638310346,0.69520229101181,NA,0.535079216415232,0.0506699572909963,0.0234352594072171,0.357443227009339,108436.818181818,0.141682333566926,43222.1818181819,0.399305936965075,0.579472157088193,1,0,0,0,1,14.1481084823608,NA,4.58333325386047,4.58333325386047,4.58333301544189,NA,NA,NA,NA,NA,NA,"2003"
"3",1,"General",0.769999980926514,"Gordon","white",73101,NA,NA,NA,NA,95001,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,55000,13,"Phoenix City",1552259,0.0222288500517607,0.165881575644014,178023,0,1,1,1,1,0,0,"Phoenix city",2007,1,0,1,0,NA,4,"55000","4","455000","455000",455000,0.27019353075461,0.241862641139464,0.672653138637543,NA,0.50426143678752,0.0558173006231137,0.0281164172020825,0.379403821446678,113353.909090909,0.148463602770459,45909.0909090911,0.407243205742402,0.594224826856093,1,0,0,0,1,14.2552223205566,NA,4.00641012191772,4.00641012191772,4.00641012191772,NA,NA,NA,NA,NA,NA,"2007"
"4",1,"General",0.490000009536743,"Walkup","white",38364,0.51,0.33,0.379999995231628,0.32,77857,"AZ",NA,0.170000001788139,0.00999999977648258,0.180000007152557,0.180000007152557,0.0499999970197678,0.0599999949336052,0.189999997615814,2,0,0,0,0,0,1,0,0,0,1,0,0,77000,19,"Tucson City",506710,0.0243375623598703,0.172508452832699,36359.19921875,0,1,0,0,1,0,0,"Tucson city",2003,1,0,1,0,NA,4,"77000","4","477000","477000",477000,0.192313161763278,0.184854977510192,0.642913579940796,NA,0.524188551035794,0.0409968759525906,0.0251864751970226,0.373121830550106,55836.8181818181,0.144752329046076,32744.7272727273,0.468297443606637,0.581011566248807,1,0,0,0,1,13.1356945037842,NA,NA,NA,4.16666650772095,0.13000001013279,0.180000007152557,0.0499999970197678,0.180000007152557,0.155000001192093,1,"2003"
"5",1,"Primary No Run-off",0.518999993801117,"Bradley","black",165599,0.47,0.73,0.46000000834465,NA,NA,"CA",NA,0.230000004172325,0.0299999993294477,NA,0.259999990463257,0.269999980926514,NA,NA,2,1,0,0,0,1,0,0,0,0,0,0,0,44000,37,"Los Angeles City",3433543.2,0.0513283230364312,0.182355009019375,259274,1,0,1,0,1,1,0,"Los Angeles city",1989,1,0,1,0,0.554041758179665,6,"44000","6","644000","644000",644000,0.389554682374001,0.381961473822593,0.658385050296785,NA,0.385455873608588,0.13570605814457,0.0922091089189054,0.381365007162092,342624.7,0.141280749440193,29406,0.605046039819717,0.676561856269836,1,0,0,0,1,15.0491037368774,NA,NA,NA,3.52631568908691,0.00999999139457941,0.259999990463257,0.269999980926514,0.269999980926514,0.125,3,"1989"
"6",1,"Primary",0.330000013113022,"Riordan","white",144690,0.4945,0.0588,0.246900007128716,0.2188,NA,"CA",NA,0.441199988126755,0.00549999997019768,0.281199991703033,0.435699999332428,0.188100010156631,0.0281000062823296,0.275700002908707,5,0,0,1,0,1,0,0,0,0,1,0,0,44000,37,"Los Angeles City",3548228.8,0.0433131277561188,0.194342052936554,166540.40625,1,0,1,0,1,1,0,"Los Angeles city",1993,0,1,0,0,0.644999995827675,6,"44000","6","644000","644000",644000,0.378921857476234,0.369169476628303,0.63070439696312,NA,0.351005220413207,0.124965987354517,0.0961953036487102,0.414891141653062,344877.6,0.148340012133121,32653.6000000001,0.60845667719841,0.676966196298599,1,0,0,0,1,15.081958770752,NA,NA,NA,3.52631568908691,0.247599989175797,0.435699999332428,0.188100010156631,0.435699999332428,0.341650009155273,1,"1993"
"7",1,"General",0.540000021457672,"Riordan","white",302786,0.67,0.14,0.430000007152557,0.31,NA,"CA",NA,0.360000014305115,0.170000001788139,0.189999997615814,0.529999971389771,0.290000021457672,0.120000004768372,0.360000014305115,2,0,0,1,0,1,0,0,0,0,1,0,0,44000,37,"Los Angeles City",3548228.8,0.0433131277561188,0.194342052936554,166540.40625,1,0,1,0,1,1,0,"Los Angeles city",1993,0,0,1,0,0.644999995827675,6,"44000","6","644000","644000",644000,0.378921857476234,0.369169476628303,0.63070439696312,NA,0.351005220413207,0.124965987354517,0.0961953036487102,0.414891141653062,344877.6,0.148340012133121,32653.6000000001,0.60845667719841,0.676966196298599,1,0,0,0,1,15.081958770752,NA,NA,NA,3.52631568908691,0.239999994635582,0.529999971389771,0.290000021457672,0.529999971389771,0.384999990463257,1,"1993"
"8",1,"Primary No Run-off",0.610000014305115,"Riordan","white",250771,0.732,0.2021,0.64520001411438,0.6392,NA,"CA",NA,0.29789999127388,0.23199999332428,0.139200001955032,0.529900014400482,0.44310000538826,0.00600001402199268,0.092799998819828,2,0,0,0,0,0,1,0,0,0,1,0,0,44000,37,"Los Angeles City",3632003.2,0.0427785098552704,0.207176709175109,104718,1,0,1,1,1,1,0,"Los Angeles city",1997,1,0,1,0,0.660000026226044,6,"44000","6","644000","644000",644000,0.367140033841133,0.354856577515602,0.604193276166916,NA,0.319539046287534,0.115273446589709,0.0984940074384213,0.44380597472191,343430.4,0.154676158726215,34958.4000000001,0.611826890707016,0.674761229753494,1,0,0,0,1,15.1052951812744,NA,NA,NA,3.52631568908691,0.0867999866604805,0.529900014400482,0.44310000538826,0.529900014400482,0.308349996805191,1,"1997"
"9",1,"Primary",0.300000011920929,"Villaraigosa","latino",152031,0.2347,0.1237,0.626299977302551,0.23,593786,"CA",NA,0.376300007104874,0.265300005674362,0.270000010728836,0.111000001430511,0.502599954605103,0.396299988031387,0.00469999993219972,6,0,1,0,0,1,0,0,0,0,0,1,0,44000,37,"Los Angeles City",3743993,0.042243891954422,0.220011365413666,132933.40625,1,0,1,1,1,1,0,"Los Angeles",2001,0,1,0,0,NA,6,"44000","6","644000","644000",644000,0.356531194665215,0.340205525810069,0.581411155787381,NA,0.295335639606823,0.106667926365679,0.10150194439021,0.46692251346328,346882.545454545,0.163062152537433,37899.8181818184,0.614483811638572,0.672140565785495,1,0,0,0,1,15.1356630325317,NA,3.45588231086731,3.45588231086731,3.45588231086731,0.391599982976913,0.111000001430511,0.502599954605103,0.502599954605103,0.140299990773201,3,"2001"
"10",1,"General",0.535000026226044,"Hahn","white",304791,0.59,0.8,0.180000007152557,0.65,632200,"CA",NA,0.300000011920929,0.0900000035762787,0.150000005960464,0.209999993443489,0.620000004768372,0.469999998807907,0.0599999986588955,2,0,1,0,0,1,0,0,0,0,1,0,0,44000,37,"Los Angeles City",3743993,0.042243891954422,0.220011365413666,132933.40625,1,0,1,1,1,1,0,"Los Angeles",2001,1,0,1,0,NA,6,"44000","6","644000","644000",644000,0.356531194665215,0.340205525810069,0.581411155787381,NA,0.295335639606823,0.106667926365679,0.10150194439021,0.46692251346328,346882.545454545,0.163062152537433,37899.8181818184,0.614483811638572,0.672140565785495,1,0,0,0,1,15.1356630325317,NA,3.45588231086731,3.45588231086731,3.45588231086731,0.409999996423721,0.209999993443489,0.620000004768372,0.620000004768372,0.0999999940395355,3,"2001"
